image,mask,dataset
water_body_1125.jpg,water_body_1125.jpg,train
water_body_2262.jpg,water_body_2262.jpg,val
water_body_183.jpg,water_body_183.jpg,train
water_body_7060.jpg,water_body_7060.jpg,val
water_body_2224.jpg,water_body_2224.jpg,test
water_body_7486.jpg,water_body_7486.jpg,train
water_body_7333.jpg,water_body_7333.jpg,train
water_body_7559.jpg,water_body_7559.jpg,train
water_body_7642.jpg,water_body_7642.jpg,train
water_body_925.jpg,water_body_925.jpg,train
water_body_956.jpg,water_body_956.jpg,train
water_body_1669.jpg,water_body_1669.jpg,val
water_body_6383.jpg,water_body_6383.jpg,train
water_body_1093.jpg,water_body_1093.jpg,train
water_body_7404.jpg,water_body_7404.jpg,val
water_body_1638.jpg,water_body_1638.jpg,train
water_body_737.jpg,water_body_737.jpg,train
water_body_1350.jpg,water_body_1350.jpg,test
water_body_637.jpg,water_body_637.jpg,train
water_body_104.jpg,water_body_104.jpg,train
water_body_700.jpg,water_body_700.jpg,test
water_body_1736.jpg,water_body_1736.jpg,train
water_body_627.jpg,water_body_627.jpg,train
water_body_8955.jpg,water_body_8955.jpg,train
water_body_7369.jpg,water_body_7369.jpg,train
water_body_7357.jpg,water_body_7357.jpg,train
water_body_7340.jpg,water_body_7340.jpg,train
water_body_8120.jpg,water_body_8120.jpg,train
water_body_1684.jpg,water_body_1684.jpg,train
water_body_8932.jpg,water_body_8932.jpg,train
water_body_1792.jpg,water_body_1792.jpg,train
water_body_8336.jpg,water_body_8336.jpg,train
water_body_719.jpg,water_body_719.jpg,train
water_body_8312.jpg,water_body_8312.jpg,train
water_body_1717.jpg,water_body_1717.jpg,val
water_body_1742.jpg,water_body_1742.jpg,train
water_body_7228.jpg,water_body_7228.jpg,train
water_body_7995.jpg,water_body_7995.jpg,train
water_body_7936.jpg,water_body_7936.jpg,test
water_body_8523.jpg,water_body_8523.jpg,val
water_body_628.jpg,water_body_628.jpg,test
water_body_1338.jpg,water_body_1338.jpg,val
water_body_8918.jpg,water_body_8918.jpg,test
water_body_8139.jpg,water_body_8139.jpg,train
water_body_8731.jpg,water_body_8731.jpg,train
water_body_710.jpg,water_body_710.jpg,train
water_body_8402.jpg,water_body_8402.jpg,train
water_body_2449.jpg,water_body_2449.jpg,train
water_body_8848.jpg,water_body_8848.jpg,train
water_body_8430.jpg,water_body_8430.jpg,val
water_body_8748.jpg,water_body_8748.jpg,train
water_body_8090.jpg,water_body_8090.jpg,test
water_body_7551.jpg,water_body_7551.jpg,val
water_body_1685.jpg,water_body_1685.jpg,val
water_body_1343.jpg,water_body_1343.jpg,train
water_body_2406.jpg,water_body_2406.jpg,val
water_body_8885.jpg,water_body_8885.jpg,train
water_body_670.jpg,water_body_670.jpg,train
water_body_1809.jpg,water_body_1809.jpg,train
water_body_1515.jpg,water_body_1515.jpg,val
water_body_6414.jpg,water_body_6414.jpg,train
water_body_1206.jpg,water_body_1206.jpg,train
water_body_7331.jpg,water_body_7331.jpg,train
water_body_8343.jpg,water_body_8343.jpg,train
water_body_8088.jpg,water_body_8088.jpg,train
water_body_1327.jpg,water_body_1327.jpg,train
water_body_1817.jpg,water_body_1817.jpg,val
water_body_8613.jpg,water_body_8613.jpg,train
water_body_8094.jpg,water_body_8094.jpg,train
water_body_1721.jpg,water_body_1721.jpg,train
water_body_972.jpg,water_body_972.jpg,train
water_body_607.jpg,water_body_607.jpg,test
water_body_7070.jpg,water_body_7070.jpg,train
water_body_2198.jpg,water_body_2198.jpg,test
water_body_7674.jpg,water_body_7674.jpg,train
water_body_779.jpg,water_body_779.jpg,train
water_body_46.jpg,water_body_46.jpg,train
water_body_8393.jpg,water_body_8393.jpg,train
water_body_7677.jpg,water_body_7677.jpg,test
water_body_807.jpg,water_body_807.jpg,train
water_body_1256.jpg,water_body_1256.jpg,train
water_body_189.jpg,water_body_189.jpg,val
water_body_2291.jpg,water_body_2291.jpg,test
water_body_7135.jpg,water_body_7135.jpg,train
water_body_7797.jpg,water_body_7797.jpg,train
water_body_7517.jpg,water_body_7517.jpg,train
water_body_7569.jpg,water_body_7569.jpg,test
water_body_8584.jpg,water_body_8584.jpg,test
water_body_7881.jpg,water_body_7881.jpg,test
water_body_7895.jpg,water_body_7895.jpg,test
water_body_795.jpg,water_body_795.jpg,train
water_body_893.jpg,water_body_893.jpg,train
water_body_1505.jpg,water_body_1505.jpg,train
water_body_2428.jpg,water_body_2428.jpg,train
water_body_7818.jpg,water_body_7818.jpg,train
water_body_753.jpg,water_body_753.jpg,train
water_body_7419.jpg,water_body_7419.jpg,val
water_body_8695.jpg,water_body_8695.jpg,train
water_body_754.jpg,water_body_754.jpg,train
water_body_8415.jpg,water_body_8415.jpg,val
water_body_1530.jpg,water_body_1530.jpg,train
water_body_8892.jpg,water_body_8892.jpg,val
water_body_658.jpg,water_body_658.jpg,train
water_body_1096.jpg,water_body_1096.jpg,train
water_body_1478.jpg,water_body_1478.jpg,train
water_body_8565.jpg,water_body_8565.jpg,train
water_body_1581.jpg,water_body_1581.jpg,train
water_body_7327.jpg,water_body_7327.jpg,val
water_body_8458.jpg,water_body_8458.jpg,train
water_body_98.jpg,water_body_98.jpg,train
water_body_1562.jpg,water_body_1562.jpg,train
water_body_7593.jpg,water_body_7593.jpg,train
water_body_1398.jpg,water_body_1398.jpg,train
water_body_2307.jpg,water_body_2307.jpg,train
water_body_8942.jpg,water_body_8942.jpg,val
water_body_8794.jpg,water_body_8794.jpg,train
water_body_953.jpg,water_body_953.jpg,val
water_body_7540.jpg,water_body_7540.jpg,train
water_body_8782.jpg,water_body_8782.jpg,test
water_body_8507.jpg,water_body_8507.jpg,test
water_body_875.jpg,water_body_875.jpg,val
water_body_1370.jpg,water_body_1370.jpg,test
water_body_1228.jpg,water_body_1228.jpg,train
water_body_1022.jpg,water_body_1022.jpg,train
water_body_8807.jpg,water_body_8807.jpg,val
water_body_1076.jpg,water_body_1076.jpg,train
water_body_1658.jpg,water_body_1658.jpg,train
water_body_1157.jpg,water_body_1157.jpg,train
water_body_651.jpg,water_body_651.jpg,test
water_body_1577.jpg,water_body_1577.jpg,train
water_body_8251.jpg,water_body_8251.jpg,train
water_body_7844.jpg,water_body_7844.jpg,train
water_body_8756.jpg,water_body_8756.jpg,train
water_body_8544.jpg,water_body_8544.jpg,test
water_body_1071.jpg,water_body_1071.jpg,val
water_body_7590.jpg,water_body_7590.jpg,val
water_body_7885.jpg,water_body_7885.jpg,val
water_body_8512.jpg,water_body_8512.jpg,train
water_body_1189.jpg,water_body_1189.jpg,test
water_body_1845.jpg,water_body_1845.jpg,train
water_body_1746.jpg,water_body_1746.jpg,train
water_body_7769.jpg,water_body_7769.jpg,train
water_body_8684.jpg,water_body_8684.jpg,train
water_body_1510.jpg,water_body_1510.jpg,train
water_body_8772.jpg,water_body_8772.jpg,train
water_body_7370.jpg,water_body_7370.jpg,test
water_body_7855.jpg,water_body_7855.jpg,train
water_body_7389.jpg,water_body_7389.jpg,train
water_body_1691.jpg,water_body_1691.jpg,train
water_body_7698.jpg,water_body_7698.jpg,train
water_body_7770.jpg,water_body_7770.jpg,train
water_body_987.jpg,water_body_987.jpg,train
water_body_7390.jpg,water_body_7390.jpg,test
water_body_1156.jpg,water_body_1156.jpg,train
water_body_8672.jpg,water_body_8672.jpg,train
water_body_7150.jpg,water_body_7150.jpg,train
water_body_709.jpg,water_body_709.jpg,test
water_body_2233.jpg,water_body_2233.jpg,train
water_body_8195.jpg,water_body_8195.jpg,train
water_body_826.jpg,water_body_826.jpg,test
water_body_1814.jpg,water_body_1814.jpg,test
water_body_1363.jpg,water_body_1363.jpg,train
water_body_2375.jpg,water_body_2375.jpg,val
water_body_1837.jpg,water_body_1837.jpg,train
water_body_8304.jpg,water_body_8304.jpg,train
water_body_7525.jpg,water_body_7525.jpg,test
water_body_8127.jpg,water_body_8127.jpg,train
water_body_8896.jpg,water_body_8896.jpg,train
water_body_876.jpg,water_body_876.jpg,val
water_body_1483.jpg,water_body_1483.jpg,train
water_body_2540.jpg,water_body_2540.jpg,test
water_body_2524.jpg,water_body_2524.jpg,train
water_body_7236.jpg,water_body_7236.jpg,train
water_body_7215.jpg,water_body_7215.jpg,train
water_body_7686.jpg,water_body_7686.jpg,train
water_body_8503.jpg,water_body_8503.jpg,train
water_body_8001.jpg,water_body_8001.jpg,train
water_body_8691.jpg,water_body_8691.jpg,val
water_body_7239.jpg,water_body_7239.jpg,test
water_body_1285.jpg,water_body_1285.jpg,train
water_body_2309.jpg,water_body_2309.jpg,train
water_body_2236.jpg,water_body_2236.jpg,train
water_body_7186.jpg,water_body_7186.jpg,train
water_body_7536.jpg,water_body_7536.jpg,train
water_body_1401.jpg,water_body_1401.jpg,train
water_body_7184.jpg,water_body_7184.jpg,train
water_body_8718.jpg,water_body_8718.jpg,train
water_body_7049.jpg,water_body_7049.jpg,train
water_body_8751.jpg,water_body_8751.jpg,train
water_body_2190.jpg,water_body_2190.jpg,train
water_body_689.jpg,water_body_689.jpg,train
water_body_7694.jpg,water_body_7694.jpg,train
water_body_8562.jpg,water_body_8562.jpg,train
water_body_8573.jpg,water_body_8573.jpg,train
water_body_1349.jpg,water_body_1349.jpg,test
water_body_7259.jpg,water_body_7259.jpg,train
water_body_7739.jpg,water_body_7739.jpg,train
water_body_7738.jpg,water_body_7738.jpg,train
water_body_18.jpg,water_body_18.jpg,test
water_body_7773.jpg,water_body_7773.jpg,train
water_body_914.jpg,water_body_914.jpg,val
water_body_8310.jpg,water_body_8310.jpg,train
water_body_7187.jpg,water_body_7187.jpg,train
water_body_2197.jpg,water_body_2197.jpg,train
water_body_96.jpg,water_body_96.jpg,train
water_body_7512.jpg,water_body_7512.jpg,train
water_body_7990.jpg,water_body_7990.jpg,train
water_body_7374.jpg,water_body_7374.jpg,test
water_body_1292.jpg,water_body_1292.jpg,val
water_body_1242.jpg,water_body_1242.jpg,test
water_body_7253.jpg,water_body_7253.jpg,train
water_body_7864.jpg,water_body_7864.jpg,val
water_body_1121.jpg,water_body_1121.jpg,val
water_body_7733.jpg,water_body_7733.jpg,train
water_body_8775.jpg,water_body_8775.jpg,train
water_body_975.jpg,water_body_975.jpg,train
water_body_8732.jpg,water_body_8732.jpg,train
water_body_1731.jpg,water_body_1731.jpg,train
water_body_894.jpg,water_body_894.jpg,train
water_body_64.jpg,water_body_64.jpg,val
water_body_7822.jpg,water_body_7822.jpg,train
water_body_7763.jpg,water_body_7763.jpg,train
water_body_1170.jpg,water_body_1170.jpg,train
water_body_163.jpg,water_body_163.jpg,train
water_body_802.jpg,water_body_802.jpg,train
water_body_634.jpg,water_body_634.jpg,val
water_body_1572.jpg,water_body_1572.jpg,val
water_body_2340.jpg,water_body_2340.jpg,train
water_body_8618.jpg,water_body_8618.jpg,train
water_body_7975.jpg,water_body_7975.jpg,train
water_body_7058.jpg,water_body_7058.jpg,train
water_body_106.jpg,water_body_106.jpg,train
water_body_7808.jpg,water_body_7808.jpg,train
water_body_7143.jpg,water_body_7143.jpg,train
water_body_7572.jpg,water_body_7572.jpg,val
water_body_8786.jpg,water_body_8786.jpg,val
water_body_7604.jpg,water_body_7604.jpg,train
water_body_1513.jpg,water_body_1513.jpg,train
water_body_911.jpg,water_body_911.jpg,train
water_body_8447.jpg,water_body_8447.jpg,train
water_body_8560.jpg,water_body_8560.jpg,train
water_body_2188.jpg,water_body_2188.jpg,train
water_body_8841.jpg,water_body_8841.jpg,test
water_body_1103.jpg,water_body_1103.jpg,val
water_body_7315.jpg,water_body_7315.jpg,train
water_body_8540.jpg,water_body_8540.jpg,train
water_body_7949.jpg,water_body_7949.jpg,test
water_body_8708.jpg,water_body_8708.jpg,train
water_body_8929.jpg,water_body_8929.jpg,train
water_body_974.jpg,water_body_974.jpg,val
water_body_8648.jpg,water_body_8648.jpg,test
water_body_8065.jpg,water_body_8065.jpg,test
water_body_7932.jpg,water_body_7932.jpg,test
water_body_8655.jpg,water_body_8655.jpg,train
water_body_7953.jpg,water_body_7953.jpg,train
water_body_1289.jpg,water_body_1289.jpg,train
water_body_6400.jpg,water_body_6400.jpg,train
water_body_2171.jpg,water_body_2171.jpg,train
water_body_1094.jpg,water_body_1094.jpg,train
water_body_13.jpg,water_body_13.jpg,train
water_body_1482.jpg,water_body_1482.jpg,train
water_body_1732.jpg,water_body_1732.jpg,train
water_body_7834.jpg,water_body_7834.jpg,val
water_body_8460.jpg,water_body_8460.jpg,train
water_body_2482.jpg,water_body_2482.jpg,train
water_body_8750.jpg,water_body_8750.jpg,train
water_body_1651.jpg,water_body_1651.jpg,train
water_body_8836.jpg,water_body_8836.jpg,train
water_body_7518.jpg,water_body_7518.jpg,train
water_body_1485.jpg,water_body_1485.jpg,test
water_body_7786.jpg,water_body_7786.jpg,train
water_body_8890.jpg,water_body_8890.jpg,train
water_body_7964.jpg,water_body_7964.jpg,train
water_body_2490.jpg,water_body_2490.jpg,test
water_body_8765.jpg,water_body_8765.jpg,train
water_body_8328.jpg,water_body_8328.jpg,train
water_body_8102.jpg,water_body_8102.jpg,train
water_body_8211.jpg,water_body_8211.jpg,train
water_body_59.jpg,water_body_59.jpg,train
water_body_1439.jpg,water_body_1439.jpg,train
water_body_1330.jpg,water_body_1330.jpg,train
water_body_8825.jpg,water_body_8825.jpg,train
water_body_7508.jpg,water_body_7508.jpg,train
water_body_995.jpg,water_body_995.jpg,test
water_body_8478.jpg,water_body_8478.jpg,train
water_body_7793.jpg,water_body_7793.jpg,train
water_body_8426.jpg,water_body_8426.jpg,train
water_body_1588.jpg,water_body_1588.jpg,train
water_body_1713.jpg,water_body_1713.jpg,train
water_body_1697.jpg,water_body_1697.jpg,train
water_body_7846.jpg,water_body_7846.jpg,train
water_body_8297.jpg,water_body_8297.jpg,test
water_body_8678.jpg,water_body_8678.jpg,test
water_body_759.jpg,water_body_759.jpg,val
water_body_782.jpg,water_body_782.jpg,test
water_body_8725.jpg,water_body_8725.jpg,train
water_body_2531.jpg,water_body_2531.jpg,train
water_body_7055.jpg,water_body_7055.jpg,train
water_body_8437.jpg,water_body_8437.jpg,train
water_body_7516.jpg,water_body_7516.jpg,train
water_body_8235.jpg,water_body_8235.jpg,train
water_body_2430.jpg,water_body_2430.jpg,val
water_body_764.jpg,water_body_764.jpg,train
water_body_8761.jpg,water_body_8761.jpg,train
water_body_2435.jpg,water_body_2435.jpg,test
water_body_1690.jpg,water_body_1690.jpg,test
water_body_1028.jpg,water_body_1028.jpg,test
water_body_829.jpg,water_body_829.jpg,train
water_body_7042.jpg,water_body_7042.jpg,test
water_body_7734.jpg,water_body_7734.jpg,train
water_body_8037.jpg,water_body_8037.jpg,train
water_body_1633.jpg,water_body_1633.jpg,train
water_body_1744.jpg,water_body_1744.jpg,val
water_body_7234.jpg,water_body_7234.jpg,train
water_body_2503.jpg,water_body_2503.jpg,train
water_body_8763.jpg,water_body_8763.jpg,val
water_body_1491.jpg,water_body_1491.jpg,train
water_body_7588.jpg,water_body_7588.jpg,train
water_body_1201.jpg,water_body_1201.jpg,val
water_body_7299.jpg,water_body_7299.jpg,train
water_body_7261.jpg,water_body_7261.jpg,val
water_body_1793.jpg,water_body_1793.jpg,val
water_body_1209.jpg,water_body_1209.jpg,train
water_body_1785.jpg,water_body_1785.jpg,test
water_body_1272.jpg,water_body_1272.jpg,train
water_body_23.jpg,water_body_23.jpg,train
water_body_7308.jpg,water_body_7308.jpg,train
water_body_2358.jpg,water_body_2358.jpg,train
water_body_1411.jpg,water_body_1411.jpg,train
water_body_1781.jpg,water_body_1781.jpg,train
water_body_2390.jpg,water_body_2390.jpg,train
water_body_1283.jpg,water_body_1283.jpg,train
water_body_7212.jpg,water_body_7212.jpg,train
water_body_102.jpg,water_body_102.jpg,train
water_body_8215.jpg,water_body_8215.jpg,train
water_body_8392.jpg,water_body_8392.jpg,test
water_body_8935.jpg,water_body_8935.jpg,train
water_body_1765.jpg,water_body_1765.jpg,val
water_body_21.jpg,water_body_21.jpg,train
water_body_7399.jpg,water_body_7399.jpg,train
water_body_777.jpg,water_body_777.jpg,train
water_body_1799.jpg,water_body_1799.jpg,val
water_body_1120.jpg,water_body_1120.jpg,train
water_body_1178.jpg,water_body_1178.jpg,train
water_body_7385.jpg,water_body_7385.jpg,train
water_body_8121.jpg,water_body_8121.jpg,train
water_body_7420.jpg,water_body_7420.jpg,train
water_body_2448.jpg,water_body_2448.jpg,train
water_body_37.jpg,water_body_37.jpg,train
water_body_8624.jpg,water_body_8624.jpg,train
water_body_1680.jpg,water_body_1680.jpg,test
water_body_8587.jpg,water_body_8587.jpg,train
water_body_741.jpg,water_body_741.jpg,train
water_body_1355.jpg,water_body_1355.jpg,val
water_body_1782.jpg,water_body_1782.jpg,train
water_body_6371.jpg,water_body_6371.jpg,train
water_body_7316.jpg,water_body_7316.jpg,train
water_body_1752.jpg,water_body_1752.jpg,val
water_body_897.jpg,water_body_897.jpg,val
water_body_7563.jpg,water_body_7563.jpg,train
water_body_831.jpg,water_body_831.jpg,train
water_body_8486.jpg,water_body_8486.jpg,train
water_body_8068.jpg,water_body_8068.jpg,train
water_body_8792.jpg,water_body_8792.jpg,val
